food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs
1044252,paleo,sesame,onion,main course,2.3736
639851,whole30,grain,onion,main course,6.2614
638626,ketogenic,dairy,mushrooms,main course,4.9025
716004,lacto-vegetarian,shellfish,onion,main course,1.8691
716330,whole30,sulfite,onion,main course,4.5095
1044252,paleo,sulfite,garlic,main course,2.3736
636787,whole30,soy,mushrooms,main course,2.2409
648320,primal,egg,beef,main course,6.9604
661340,primal,seafood,garlic,main course,3.3897000000000004
638626,ketogenic,egg,none,main course,4.9025
715415,gluten free,none,pork,main course,3.0045
716004,lacto-vegetarian,grain,mushrooms,main course,1.8691
638626,ketogenic,soy,none,main course,4.9025
715415,none,shellfish,beef,main course,3.0045
782601,ovo-vegetarian,peanut,mushrooms,main course,1.6843
648320,primal,egg,beef,main course,6.9604
661340,primal,grain,garlic,main course,3.3897000000000004
782601,ovo-vegetarian,none,mushrooms,main course,1.6843
716627,vegan,sesame,garlic,main course,1.0602
1044252,primal,seafood,onion,main course,2.3736
662654,low FODMAP,gluten,onion,main course,4.7797
716627,vegan,sesame,garlic,main course,1.0602
648320,pescetarian,peanut,garlic,main course,6.9604
648320,paleo,gluten,garlic,main course,6.9604
782601,vegetarian,peanut,none,main course,1.6843
638626,ketogenic,peanut,pork,main course,4.9025
716330,whole30,seafood,garlic,main course,4.5095
782601,lacto-vegetarian,peanut,beef,main course,0.0
633921,pescetarian,none,onion,main course,4.4376
648320,paleo,shellfish,garlic,main course,6.9604
782601,lacto-vegetarian,shellfish,none,main course,1.6843
716004,lacto-vegetarian,gluten,onion,main course,1.8691
648320,pescetarian,gluten,garlic,main course,6.9604
782601,lacto-vegetarian,dairy,pork,main course,1.6843
782601,vegan,peanut,pork,main course,1.6843
648320,primal,wheat,none,main course,6.9604
662654,low FODMAP,none,pork,main course,4.7797
782601,ovo-vegetarian,dairy,none,main course,1.6843
715415,gluten free,sesame,beef,main course,3.0045
659135,whole30,gluten,garlic,main course,5.2046
648320,paleo,peanut,garlic,main course,6.9604
636787,whole30,shellfish,none,main course,2.2409
648320,primal,shellfish,garlic,main course,6.9604
